m_bits,Method,R_bits_per_token,utilization,empirical_entropy_rate_bits_per_token,N_tokens_mean,N_trials
1,ACS1,1.0,0.6920815841098038,14.517810235507563,1.0,10
1,Discop,0.7533333333333334,0.27990232710769386,4.402110307584745,2.4,10
1,ACS2,0.7785714285714286,0.7621267607732494,1.7421047251750792,2.3,10
2,ACS1,1.65,0.5326220820804044,6.160806084297834,1.5,10
2,Discop,1.5,0.5167431813565042,3.7563856848048673,1.8,10
2,ACS2,0.8833333333333332,0.5957094441164325,1.673211467630082,3.0,10
3,ACS1,1.6528571428571428,0.7528301288384103,2.6420599059537553,2.7,10
3,Discop,1.4828571428571429,0.7207143443152286,2.9047360549453387,3.8,10
3,ACS2,1.675,0.694875644623999,2.6517531424732157,3.0,10
4,ACS1,2.183333333333333,0.9311255143504853,2.427733283123822,3.1,10
4,Discop,2.25,0.702411495320657,3.328391267551112,3.2,10
4,ACS2,1.7966666666666664,0.7681836832900544,2.442966619915524,3.5,10
5,ACS1,2.2833333333333337,0.7928701048063822,2.939642127089707,3.7,10
5,Discop,1.7013888888888888,0.6250958304395867,2.7074704815798927,4.3,10
5,ACS2,1.9125,0.8633243436797038,2.287411195993413,3.5,10
6,ACS1,2.775714285714286,0.8334185167393542,4.885150127179978,3.2,10
6,Discop,1.726666666666667,0.7187695541484247,2.3759962406415296,5.1,10
6,ACS2,2.435,0.964219808550571,2.464394299465924,4.4,10
7,ACS1,2.7241666666666666,0.91235430418278,2.9661645482858896,4.1,10
7,Discop,3.6291666666666673,0.7393307806787575,4.902741956001496,3.9,10
7,ACS2,2.761111111111111,0.8084579236680272,3.5609809360066933,3.6,10
8,ACS1,2.2266666666666666,0.8646127508291247,2.4863384482803057,5.4,10
8,Discop,2.1276190476190475,0.7034676726236132,3.1582413424944105,4.3,10
8,ACS2,1.8460606060606062,0.9006260686811178,2.1023963721509458,5.9,10
9,ACS1,2.4207142857142854,0.8339787134354593,3.2101500486545547,5.3,10
9,Discop,3.8935714285714282,0.7791495066498412,5.063123898777108,4.1,10
9,ACS2,2.8321428571428573,0.8163008662939031,3.6057076645692328,5.4,10
10,ACS1,3.25,0.8445062894467809,4.109059901608502,3.5,10
