 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
      1   ACS1          1.000000     0.692082                              14.517810            1.0        10
      1 Discop          0.753333     0.279902                               4.402110            2.4        10
      1   ACS2          0.778571     0.762127                               1.742105            2.3        10
      2   ACS1          1.650000     0.532622                               6.160806            1.5        10
      2 Discop          1.500000     0.516743                               3.756386            1.8        10
      2   ACS2          0.883333     0.595709                               1.673211            3.0        10
      3   ACS1          1.652857     0.752830                               2.642060            2.7        10
      3 Discop          1.482857     0.720714                               2.904736            3.8        10
      3   ACS2          1.675000     0.694876                               2.651753            3.0        10
      4   ACS1          2.183333     0.931126                               2.427733            3.1        10
      4 Discop          2.250000     0.702411                               3.328391            3.2        10
      4   ACS2          1.796667     0.768184                               2.442967            3.5        10
      5   ACS1          2.283333     0.792870                               2.939642            3.7        10
      5 Discop          1.701389     0.625096                               2.707470            4.3        10
      5   ACS2          1.912500     0.863324                               2.287411            3.5        10
      6   ACS1          2.775714     0.833419                               4.885150            3.2        10
      6 Discop          1.726667     0.718770                               2.375996            5.1        10
      6   ACS2          2.435000     0.964220                               2.464394            4.4        10
      7   ACS1          2.724167     0.912354                               2.966165            4.1        10
      7 Discop          3.629167     0.739331                               4.902742            3.9        10
      7   ACS2          2.761111     0.808458                               3.560981            3.6        10
      8   ACS1          2.226667     0.864613                               2.486338            5.4        10
      8 Discop          2.127619     0.703468                               3.158241            4.3        10
      8   ACS2          1.846061     0.900626                               2.102396            5.9        10
      9   ACS1          2.420714     0.833979                               3.210150            5.3        10
      9 Discop          3.893571     0.779150                               5.063124            4.1        10
      9   ACS2          2.832143     0.816301                               3.605708            5.4        10
     10   ACS1          3.250000     0.844506                               4.109060            3.5        10
     10 Discop          2.115873     0.752284                               2.985180            6.1        10
     10   ACS2          2.221825     0.916073                               2.428341            5.6        10
     11   ACS1          4.280833     0.934205                               4.550678            3.9        10
     11 Discop          2.459722     0.750248                               3.175639            5.5        10
     11   ACS2          2.251111     0.858503                               2.591619            6.7        10
     12   ACS1          2.559091     0.849952                               3.117898            5.6        10
     12 Discop          1.749567     0.804077                               2.174489            7.9        10
     12   ACS2          1.879567     0.909781                               2.096042            7.7        10
     13   ACS1          2.393651     0.892034                               2.619925            6.4        10
     13 Discop          2.866706     0.818018                               3.515410            5.5        10
     13   ACS2          3.325833     0.917148                               3.736819            4.7        10
     14   ACS1          2.382273     0.925261                               2.566635            6.4        10
     14 Discop          1.937778     0.722117                               2.726767            8.0        10
     14   ACS2          2.033333     0.909740                               2.270450            7.5        10
     15   ACS1          2.330952     0.869279                               2.676437            7.3        10
     15 Discop          1.982738     0.775826                               2.561043            8.2        10
     15   ACS2          2.240530     0.911683                               2.491525            7.4        10
     16   ACS1          2.177201     0.870589                               2.491816            8.2        10
     16 Discop          2.326349     0.788723                               2.950115            7.3        10
     16   ACS2          3.075556     0.922168                               3.472264            6.9        10
     17   ACS1          2.572937     0.924117                               2.793346            7.0        10
     17 Discop          2.180440     0.755233                               2.881284            8.4        10
     17   ACS2          3.161148     0.899420                               3.500883            6.4        10
     18   ACS1          2.447877     0.869736                               2.789445            8.6        10
     18 Discop          3.347273     0.848128                               3.871033            6.7        10
     18   ACS2          2.592143     0.865781                               3.030682            7.6        10
     19   ACS1          2.864394     0.911910                               3.142982            7.7        10
     19 Discop          2.562691     0.836806                               3.111610            8.0        10
     19   ACS2          2.697767     0.957736                               2.803515            7.7        10
     20   ACS1          2.042136     0.959452                               2.127566           10.2        10
     20 Discop          3.097691     0.802943                               3.888437            7.4        10
     20   ACS2          2.584871     0.956174                               2.689167            8.3        10
     21   ACS1          3.417500     0.927889                               3.629881            7.5        10
     21 Discop          2.514190     0.790228                               3.169476            9.0        10
     21   ACS2          2.734744     0.914025                               2.972150            8.7        10
     22   ACS1          2.836508     0.925006                               3.088127            8.4        10
     22 Discop          2.105150     0.877664                               2.413428           11.0        10
     22   ACS2          2.906349     0.949436                               3.075155            8.1        10
     23   ACS1          2.986068     0.943144                               3.107598            9.2        10
     23 Discop          2.428773     0.814446                               3.035570           10.8        10
     23   ACS2          2.258897     0.934554                               2.422886           10.7        10
     24   ACS1          2.291515     0.957063                               2.398953           10.7        10
     24 Discop          2.494079     0.833921                               3.026930           10.2        10
     24   ACS2          2.419940     0.936368                               2.590753           10.7        10
     25   ACS1          2.986951     0.917427                               3.258780            9.1        10
     25 Discop          2.196637     0.826847                               2.668692           11.8        10
     25   ACS2          2.519716     0.912389                               2.757877           10.4        10
     26   ACS1          2.627024     0.909886                               2.905160           10.6        10
     26 Discop          2.523492     0.865627                               2.902506           10.9        10
     26   ACS2          2.960173     0.940591                               3.260128            9.5        10
     27   ACS1          2.466196     0.919182                               2.679437           11.3        10
     27 Discop          2.483984     0.847209                               2.960502           11.5        10
     27   ACS2          2.360474     0.936481                               2.520426           11.9        10
     28   ACS1          2.729091     0.918511                               2.990076           10.8        10
     28 Discop          2.596426     0.818785                               3.146614           11.5        10
     28   ACS2          3.071041     0.953480                               3.218668            9.6        10
     29   ACS1          2.854942     0.945968                               3.014285           10.5        10
     29 Discop          2.606652     0.860267                               3.032052           11.8        10
     29   ACS2          2.667572     0.925545                               2.884358           11.9        10
     30   ACS1          2.461927     0.907847                               2.698091           12.8        10
     30 Discop          2.513237     0.830717                               3.034068           12.1        10
     30   ACS2          3.001515     0.949225                               3.163296           10.1        10
     31   ACS1          3.571611     0.931120                               3.846786           10.7        10
     31 Discop          3.044454     0.853272                               3.570647           11.3        10
     31   ACS2          3.251456     0.946371                               3.431931           10.1        10
     32   ACS1          3.095765     0.936375                               3.299183           11.8        10
     32 Discop          2.893420     0.835469                               3.442342           12.0        10
     32   ACS2          2.594010     0.930882                               2.797660           12.6        10
     33   ACS1          2.707246     0.953658                               2.862494           13.2        10
     33 Discop          2.455690     0.832473                               2.992134           13.9        10
     33   ACS2          2.696975     0.962935                               2.797419           12.6        10
     34   ACS1          2.561102     0.935437                               2.756211           13.8        10
     34 Discop          2.318633     0.869094                               2.682810           15.5        10
     34   ACS2          2.856333     0.941743                               3.048498           12.2        10
     35   ACS1          2.492868     0.938831                               2.668381           14.5        10
     35 Discop          2.926428     0.810505                               3.614237           12.3        10
     35   ACS2          2.650113     0.978194                               2.702747           13.8        10
     36   ACS1          2.668584     0.952350                               2.812812           14.0        10
     36 Discop          2.603262     0.858130                               3.018832           14.6        10
     36   ACS2          3.043042     0.969004                               3.135435           12.5        10
     37   ACS1          3.186168     0.977987                               3.263154           12.1        10
     37 Discop          2.668546     0.845720                               3.183319           14.2        10
     37   ACS2          3.184550     0.956609                               3.333472           12.4        10
     38   ACS1          2.586894     0.952753                               2.706024           15.2        10
     38 Discop          2.752861     0.871820                               3.204447           14.3        10
     38   ACS2          2.565123     0.946698                               2.713732           15.1        10
     39   ACS1          3.127529     0.979267                               3.195681           13.0        10
     39 Discop          2.349615     0.889822                               2.642532           17.0        10
     39   ACS2          2.649114     0.960817                               2.760142           14.9        10
     40   ACS1          2.814829     0.949196                               2.972073           14.6        10
     40 Discop          3.038384     0.878226                               3.469745           14.2        10
