m,ACS1_R,ACS1_entropy,ACS1_u,Discop_R,Discop_entropy,Discop_u,ACS2_R,ACS2_entropy,ACS2_u
1,1.0,13.020488961516818,0.269860601831862,0.95,4.623851170397239,0.2567521722638714,1.0,4.471600811062899,0.33605873858797886
2,2.0,10.697333814419682,0.4002475544779111,1.9,5.161426506420915,0.43048213300156013,1.9,5.252391837200846,0.4473542991723446
3,3.0,5.975380385875553,0.6218513490396784,2.7,4.554242982203159,0.6247686281597048,3.0,4.4483458601775405,0.7307825366372488
4,3.8,5.805961839763445,0.7308940732884596,3.6,5.972720130220068,0.6623378955144864,4.0,6.003853012148176,0.7412294953387477
5,4.0,8.64677574423006,0.8187403455840213,3.75,4.66212102824928,0.8047179561850262,3.375,4.359302725681302,0.7942757195095215
6,3.5333333333333337,4.31866755851973,0.8169961616754252,3.485294117647059,4.322075921774498,0.7826822009305514,3.7875,4.835466139814685,0.766473286753973
7,4.2875,5.202260723897571,0.8405623273474723,3.1333333333333337,3.9534575586554355,0.8088422663516457,3.675,4.430885604923207,0.8157496363283443
8,3.4666666666666663,4.070988800001132,0.8699855175327633,4.2,4.8733762970679555,0.8546402728702528,3.733333333333333,4.648149791112478,0.8270628793284807
9,3.6,4.012190029646959,0.8988728968951933,3.0149999999999997,3.7390686612267237,0.8050736230847633,3.225,3.759789575340746,0.8906146398973613
10,3.0761904761904764,3.727170620596874,0.811664682126513,3.1047008547008548,3.8651212776698336,0.7967441522584938,3.342857142857143,3.8061000973267647,0.884116145986065
11,3.5029761904761907,4.141098773868778,0.8696522213263572,2.8565079365079367,3.8258619495407347,0.7506961382986412,3.2842857142857143,3.647188712920111,0.8958656729218843
12,2.83,3.0379452338852206,0.9448838449626349,2.322857142857143,2.942629984456684,0.8015524117322584,2.8114285714285714,3.2141004124716894,0.8867049390782757
13,2.8458020050125317,3.6127660950554485,0.846792098673523,2.5915217391304344,3.130354417747589,0.8299784219200508,2.8597420634920634,3.079596388586615,0.939850715379594
14,3.1173835125448033,3.3824452850693887,0.9237034327937718,3.291666666666667,3.960929897810035,0.8223635179668982,3.1108333333333333,3.410898624438963,0.926542617536378
15,3.3392857142857144,4.030725391843759,0.8598357385530269,3.393233082706767,3.982995165811525,0.8437702418137117,3.70467032967033,3.9052116122711014,0.9548568066448817
16,3.1238095238095243,3.407196452124514,0.9269694507138218,2.5544928274340037,3.1340763425670906,0.7986204526665788,2.8349206349206346,3.096578504982536,0.9186968481120141
17,2.450966092768152,2.6910409654449845,0.921902304867381,2.3443073593073596,2.980213293668432,0.7768919175181079,2.6625238095238095,3.019342643377505,0.9029455616281256
18,2.9998901098901096,3.1996784285807314,0.9440513010271683,2.4698451548451548,3.0966951134619003,0.7947062902187879,3.369065934065934,3.6625882946321697,0.9220075852872458
19,3.5472321428571427,3.7078924724606566,0.962053204400337,2.8549894957983195,3.5867847372085064,0.7945160208062332,3.341587301587301,3.538228601054636,0.946378365677105
20,2.9285714285714284,3.2546956946728747,0.9109185623295136,2.8054334554334557,3.4186825692577116,0.8188011670044093,3.234920634920635,3.4422123237981297,0.9398709048953144
21,3.787447552447553,4.060413265600433,0.9408372717476287,3.170705128205128,3.7964957431292974,0.8233688719083029,3.4025,3.587554460794858,0.9507809358407819
22,3.533968253968254,3.854779374239546,0.9172170066212619,3.6326190476190474,4.29334847038251,0.8480411606882721,4.373809523809524,4.640087586271934,0.9497793290536707
23,3.012784421460892,3.4488737004252896,0.8781453109280999,2.9092261904761902,3.422281804851701,0.8317468410438004,3.4371232933732934,3.684275752410282,0.9404616857255658
24,3.409186813186813,3.558614386630746,0.9594640057097052,3.4768949400528344,4.019679773054337,0.8406184789239541,3.6674603174603178,3.8592895726215453,0.95242339970079
25,3.580700549450549,3.9801989575356274,0.9050009064157358,3.162267080745342,3.8944582335289524,0.8166049775073819,3.3723672161172162,3.61965851461368,0.9266444187806915
26,2.974729144729145,3.3071855230262406,0.9209501798830066,2.8461599945810474,3.341225436105554,0.8429075039207529,2.9635497835497837,3.27647971323168,0.8997101232116623
27,3.2464285714285714,3.426573532248702,0.9539438540807244,2.8623949734476053,3.279749960073876,0.8563667166456852,3.076442307692308,3.2839464872830475,0.9521036669810906
28,3.5368983957219258,3.870783526100751,0.936802298653919,3.362929292929293,3.9145078311030104,0.8448415730641804,3.4392592592592592,3.692859743035517,0.9454970175069419
29,3.319159663865546,3.5324129234954453,0.9466517617648085,2.733451992451992,3.233172066951738,0.8479027455066449,2.9825030525030525,3.232469421753455,0.9281669069627844
30,3.7285714285714286,4.00514972091268,0.9372804895847884,3.393377455877456,3.915159611422484,0.864110987465925,3.9056943056943054,4.081465476208475,0.9634678992134253
31,3.3040170940170945,3.4401162251216375,0.9683084230605449,2.9978968253968254,3.532368188477238,0.8531093125660478,3.0816594516594513,3.183638874102454,0.9730943496793234
32,3.3448773448773443,3.5428103115377025,0.9546004968837535,3.1193251193251195,3.6733911915705137,0.8602032196654121,3.24008281573499,3.453498554696013,0.9508342363265632
33,2.730962885154062,2.847790141093251,0.9570605895065547,2.462691146023627,2.841431788871664,0.8578431178072939,2.6226586637999683,2.775091128772025,0.9441697566039393
34,2.9520098614835453,3.0408674760752357,0.9737105758357331,2.573989898989899,2.894051163704904,0.8853977499794791,3.1078667823404666,3.2554406161628187,0.9603233904575171
35,2.6278455611628733,2.7829451463015675,0.946614349693966,2.6063012688206184,3.085867663234483,0.8317711226158574,2.627225232198142,2.792676919149145,0.9447696168625939
36,2.9202758232479598,3.0415570958780056,0.9587078620799397,2.780131026867869,3.227880738664929,0.8475904117712352,2.6255016562384985,2.757359178512921,0.9481878925518157
37,3.3381949831214532,3.4552834450769936,0.9675259491474885,2.9301280298648718,3.3966977518442576,0.8545704596490931,3.5669840230289145,3.6742654763452824,0.9730539992356892
38,3.12729309338005,3.272086549441238,0.9606391250909478,2.597245304567555,3.1930805927363592,0.8137501026825303,2.9759010989010983,3.1561197933231853,0.9523207955349008
39,3.140396825396825,3.22306485172862,0.9733829753909108,2.7779082909843775,3.2425788162724003,0.844269219718775,3.036331168831169,3.1963138246316936,0.9567889593516398
40,3.573076923076923,3.7255036004971016,0.9617835416189824,2.8017130169452154,3.130356583898458,0.8817220452081187,3.359312496928596,3.487867635326185,0.9620056167376949
41,3.3461515067619714,3.432380880009325,0.9747412050995183,2.8935112303716957,3.1996982913306864,0.8735894811533915,3.174827408678028,3.4098179702468068,0.9429311840910126
42,3.2780436720142605,3.383859923270576,0.9699285351473703,3.156582934609251,3.5952852284002694,0.8811144980241833,3.523673843700159,3.734433848867874,0.9428920327078523
43,2.982335976085976,3.1133056447505902,0.9537070139167065,2.686146377067093,3.1462619466055135,0.8478071922970001,3.0292045183918246,3.11032418856086,0.9760175771582971
44,3.657810098398334,3.8214115036797827,0.9576143019286334,3.3413583638583644,3.790344859610952,0.869289920207493,3.5514529914529915,3.6646376858984824,0.9707686907176333
45,2.6060568121249235,2.7091322677653764,0.9564840356568876,2.410326107819741,2.9312256329789315,0.8319922271160083,2.897719205236954,2.9869198026526296,0.9767670800514269
46,2.957219001928304,3.1115143259018456,0.9551962670439927,2.840203144808408,3.309250334719244,0.8502491062446891,3.145524212629476,3.2988739746507485,0.959346302159559
47,3.058694875690906,3.210449341273762,0.9517967239971243,3.0440015889907195,3.483458234089283,0.870258208150107,3.4399883478458997,3.5469954964802577,0.9668113914195535
48,3.174545454545455,3.279730662959378,0.9663031802976028,2.9532297506415155,3.40609785908754,0.860649469009336,3.227611865258924,3.3714207876064934,0.9669191559641763
49,3.148319795813049,3.204030523890469,0.9847345992608856,2.8517923536544814,3.2367120891161094,0.8735863774813761,3.031196018893387,3.1649482869897714,0.9646724363209327
50,3.1440108094519865,3.2330099002267625,0.9746065834852964,2.947915187993388,3.258389986997809,0.901634299600774,3.273532445692689,3.402872506436877,0.9636669878300674
51,2.903014301724828,3.112694634895525,0.9322649974258951,2.7368844885555412,3.0522936464804444,0.890209398636399,3.2120514312619575,3.2826380238037034,0.9781473616349402
52,2.5562431033019264,2.6694621184962513,0.9578831067306407,2.301300144300144,2.6206769636544918,0.8770967013893802,2.580462216146427,2.6916924400402342,0.9587963889403321
53,3.656679840627209,3.8292251991011783,0.9612459474457754,3.424558641206238,3.7882244308634005,0.9008894526153511,3.450791732777027,3.5874492185908267,0.9648684219598682
54,3.7376305753070462,3.847667202572434,0.9769805746751784,3.0462978056426335,3.435297539781016,0.8783476544261509,3.4415650058650464,3.556938856660622,0.9695828574055294
55,3.1189879584616427,3.2267192533928664,0.9660140391586381,2.7727135127089757,3.1233600591420085,0.8809098740047675,3.1207259677326307,3.1952537121058766,0.9760402367735519
56,3.1839988116458704,3.3399103685279656,0.9566423237548797,2.692147835087114,3.1381251085800557,0.8525671663329175,3.314154091522512,3.4666975875836163,0.9575292276110259
57,3.051937597994504,3.1492274028865443,0.9707244195030222,2.5393559150450633,2.9297003890853235,0.8578798731532636,2.9788782051282054,3.083918547129872,0.970377928898225
58,3.1945583257998367,3.339903526438662,0.9555086540140125,3.1394272832430725,3.5393249711279102,0.8854447353846255,3.3104463304153704,3.4521902767816273,0.9585322810921164
59,3.516639288402446,3.685392568096147,0.9588092771754464,3.0605101103378414,3.43669225563396,0.8802178543702738,3.2124438949423464,3.3079848783534302,0.9742443462034244
60,3.2907236571478053,3.3321139739023082,0.9882226740800675,2.93026911169326,3.298666805989336,0.8880434317537379,3.258438667095413,3.358088149067451,0.9719644594050937
61,3.2988990906754063,3.422712892646765,0.964519273310404,2.9080891649444562,3.3370157297477645,0.8631008042324307,3.2855349903719473,3.465335516106607,0.949995220754398
62,3.6019219669219664,3.72358089411781,0.9654705482362826,3.0418651917622173,3.417296524811911,0.8843472692698473,3.5227352360401896,3.5934520364180584,0.9853781535240504
