method,m_bits,R_bits_per_token,utilization,entropy_rate_bits_per_token,mean_N_tokens,std_R,trials
ACS1,1,1.0,0.1271246081857562,7.866297597856007,1.0,0.0,10
Discop,1,1.0,0.1401968535014036,7.132827699232126,1.0,0.0,10
ACS2,1,1.0,0.17000654823053396,5.882126367532444,1.0,0.0,10
ACS1,2,2.0,0.261649621112303,7.643810036864442,1.0,0.0,10
Discop,2,2.0,0.2806463556606441,7.126406453032257,1.0,0.0,10
ACS2,2,2.0,0.27015608335462266,7.403127759202384,1.0,0.0,10
ACS1,3,3.0,0.4391920761600268,6.830724329614045,1.0,0.0,10
Discop,3,3.0,0.433595454534959,6.91889171951207,1.0,0.0,10
ACS2,3,2.727272727272727,0.4267532942728454,6.390747918934729,1.1,0.4743416490252569,10
ACS1,4,3.3333333333333335,0.5568357011868192,5.986206211686479,1.2,0.8432740427115678,10
Discop,4,3.3333333333333335,0.5209704451727787,6.398315613139707,1.2,0.8432740427115678,10
ACS2,4,4.0,0.6028049790380638,6.635645256917199,1.0,0.0,10
ACS1,5,4.166666666666667,0.7150451319356073,5.827138009299659,1.2,1.0540925533894598,10
Discop,5,3.8461538461538463,0.6831565623114566,5.629974237736084,1.3,1.1858541225631423,10
ACS2,5,4.166666666666667,0.6705191282324113,6.214090681723911,1.2,1.0540925533894596,10
ACS1,6,5.454545454545454,0.736838834780733,7.40263025925962,1.1,0.9486832980505138,10
Discop,6,5.0,0.7857385447415802,6.363439891630159,1.2,1.2649110640673518,10
ACS2,6,5.454545454545454,0.7876006354727304,6.925521906507286,1.1,0.9486832980505138,10
ACS1,7,4.666666666666667,0.7234592713025269,6.45048982268861,1.5,1.8446619684315546,10
Discop,7,3.888888888888889,0.5813644816962248,6.689244030771242,1.8,1.8073922282301278,10
ACS2,7,4.666666666666667,0.6637515427551256,7.0307432315653635,1.5,1.8446619684315546,10
ACS1,8,5.0,0.7018057974949962,7.12447805054738,1.6,2.283596902873801,10
Discop,8,4.2105263157894735,0.6603966101931296,6.375753979957781,1.9,1.2649110640673518,10
ACS2,8,4.444444444444445,0.6476596543564646,6.862314820058673,1.8,2.0655911179772892,10
ACS1,9,4.5,0.7397826043798341,6.082868093083086,2.0,2.1447610589527217,10
Discop,9,4.285714285714286,0.6938943575184581,6.176320990764481,2.1,0.4743416490252569,10
ACS2,9,4.285714285714286,0.7350331885963161,5.8306405101226275,2.1,1.6507574019219178,10
ACS1,10,4.761904761904762,0.7228756599339606,6.58744653588114,2.1,0.5270462766947299,10
Discop,10,4.3478260869565215,0.7583755658088157,5.733077755899899,2.3,2.020344060663131,10
ACS2,10,4.545454545454546,0.7536669121883537,6.031118617449087,2.2,2.581988897471611,10
ACS1,11,5.0,0.7676351357347835,6.513511129495108,2.2,0.7730012058189373,10
Discop,11,5.0,0.7841652479166351,6.3762070727872295,2.2,0.7730012058189373,10
ACS2,11,4.583333333333333,0.7974545718190723,5.747453830352115,2.4,0.9467292624062577,10
ACS1,12,5.454545454545454,0.8099894019735732,6.734094842790814,2.2,0.8432740427115678,10
Discop,12,5.454545454545454,0.7710165593288018,7.0744854809523625,2.2,0.9486832980505138,10
ACS2,12,5.714285714285714,0.8069390477027566,7.0814341313058184,2.1,0.6324555320336759,10
ACS1,13,5.909090909090909,0.8141707173467854,7.257803287678313,2.2,0.9135468796041986,10
Discop,13,5.416666666666667,0.7908787722409272,6.848921550035706,2.4,1.1188618555710317,10
ACS2,13,5.6521739130434785,0.8248147630489997,6.852658519531979,2.3,1.0465994316692375,10
ACS1,14,5.185185185185185,0.8472771828128243,6.1198215771268645,2.7,1.35275211018314,10
Discop,14,4.827586206896552,0.7554420694633736,6.390412186504011,2.9,1.1067971810589328,10
ACS2,14,6.086956521739131,0.8146049107981089,7.472280661523924,2.3,1.1271070802591783,10
ACS1,15,6.818181818181818,0.9355320783217363,7.288025687385351,2.2,1.0540925533894598,10
Discop,15,5.357142857142857,0.7795764459768195,6.871863413510765,2.8,1.3501543121683042,10
ACS2,15,6.521739130434782,0.8688499460221156,7.506174294299581,2.3,1.20761472884912,10
ACS1,16,5.333333333333333,0.8235572813441971,6.475971318750714,3.0,1.3770607453181927,10
