       R_bits_per_token                   utilization                   entropy_rate_bits_per_token                   mean_N_tokens                    
method             ACS1     ACS2   Discop        ACS1     ACS2   Discop                        ACS1     ACS2   Discop          ACS1      ACS2    Discop
m_bits                                                                                                                                                 
1              1.000000 1.000000 1.000000    0.127125 0.170007 0.140197                    7.866298 5.882126 7.132828      1.000000  1.000000  1.000000
2              2.000000 2.000000 2.000000    0.261650 0.270156 0.280646                    7.643810 7.403128 7.126406      1.000000  1.000000  1.000000
3              3.000000 2.727273 3.000000    0.439192 0.426753 0.433595                    6.830724 6.390748 6.918892      1.000000  1.100000  1.000000
4              3.333333 4.000000 3.333333    0.556836 0.602805 0.520970                    5.986206 6.635645 6.398316      1.200000  1.000000  1.200000
5              4.166667 4.166667 3.846154    0.715045 0.670519 0.683157                    5.827138 6.214091 5.629974      1.200000  1.200000  1.300000
6              5.454545 5.454545 5.000000    0.736839 0.787601 0.785739                    7.402630 6.925522 6.363440      1.100000  1.100000  1.200000
7              4.666667 4.666667 3.888889    0.723459 0.663752 0.581364                    6.450490 7.030743 6.689244      1.500000  1.500000  1.800000
8              5.000000 4.444444 4.210526    0.701806 0.647660 0.660397                    7.124478 6.862315 6.375754      1.600000  1.800000  1.900000
9              4.500000 4.285714 4.285714    0.739783 0.735033 0.693894                    6.082868 5.830641 6.176321      2.000000  2.100000  2.100000
10             4.761905 4.545455 4.347826    0.722876 0.753667 0.758376                    6.587447 6.031119 5.733078      2.100000  2.200000  2.300000
11             5.000000 4.583333 5.000000    0.767635 0.797455 0.784165                    6.513511 5.747454 6.376207      2.200000  2.400000  2.200000
12             5.454545 5.714286 5.454545    0.809989 0.806939 0.771017                    6.734095 7.081434 7.074485      2.200000  2.100000  2.200000
13             5.909091 5.652174 5.416667    0.814171 0.824815 0.790879                    7.257803 6.852659 6.848922      2.200000  2.300000  2.400000
14             5.185185 6.086957 4.827586    0.847277 0.814605 0.755442                    6.119822 7.472281 6.390412      2.700000  2.300000  2.900000
15             6.818182 6.521739 5.357143    0.935532 0.868850 0.779576                    7.288026 7.506174 6.871863      2.200000  2.300000  2.800000
16             5.333333 4.848485 4.705882    0.823557 0.843528 0.779901                    6.475971 5.747865 6.033949      3.000000  3.300000  3.400000
17             5.862069 5.666667 5.666667    0.780689 0.750860 0.725438                    7.508844 7.546902 7.811372      2.900000  3.000000  3.000000
18             6.000000 5.806452 6.000000    0.805567 0.838068 0.832635                    7.448173 6.928376 7.206042      3.000000  3.100000  3.000000
19             6.129032 6.129032 5.937500    0.881046 0.844095 0.834484                    6.956543 7.261072 7.115178      3.100000  3.100000  3.200000
20             5.714286 6.451613 5.714286    0.878923 0.893253 0.826792                    6.501463 7.222602 6.911398      3.500000  3.100000  3.500000
21             6.562500 6.363636 6.363636    0.888231 0.917669 0.866626                    7.388280 6.934569 7.343000      3.200000  3.300000  3.300000
22             5.789474 6.470588 5.365854    0.885523 0.929510 0.830884                    6.537917 6.961287 6.458007      3.800000  3.400000  4.100000
23             6.216216 6.969697 6.388889    0.877107 0.916985 0.880052                    7.087180 7.600663 7.259674      3.700000  3.300000  3.600000
24             6.153846 6.857143 6.153846    0.838039 0.893063 0.827740                    7.343154 7.678229 7.434511      3.900000  3.500000  3.900000
25             6.410256 6.410256 5.813953    0.885746 0.889287 0.827416                    7.237128 7.208311 7.026636      3.900000  3.900000  4.300000
26             6.190476 6.190476 5.909091    0.911516 0.882006 0.866236                    6.791406 7.018631 6.821570      4.200000  4.200000  4.400000
27             6.279070 6.136364 6.000000    0.904827 0.872430 0.833520                    6.939527 7.033645 7.198385      4.300000  4.400000  4.500000
28             6.222222 6.363636 5.714286    0.898430 0.903169 0.833568                    6.925663 7.045901 6.855210      4.500000  4.400000  4.900000
29             6.304348 6.590909 6.170213    0.912175 0.876404 0.834477                    6.911339 7.520402 7.394112      4.600000  4.400000  4.700000
30             6.122449 6.250000 6.122449    0.893680 0.911812 0.859258                    6.850828 6.854481 7.125275      4.900000  4.800000  4.900000
31             6.595745 6.458333 5.961538    0.938187 0.907298 0.856764                    7.030306 7.118207 6.958201      4.700000  4.800000  5.200000
